Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Calling,<= 50 Meters,FALSE,unknown,White-breasted Nuthatch,Sitta carolinensis,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,unknown,Red-bellied Woodpecker,Melanerpes carolinus,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,unknown,Orchard Oriole,Icterus spurius,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,2.5 - 5 min,Visualization,<= 50 Meters,FALSE,unknown,Northern Mockingbird,Mimus polyglottos,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,unknown,Northern Cardinal,Cardinalis cardinalis,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Horned Lark,Eremophila alpestris,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Mourning Dove,Zenaida macroura,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,unknown,Carolina Wren,Thryothorus ludovicianus,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,unknown,Carolina Chickadee,Poecile carolinensis,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,unknown,American Crow,Corvus brachyrhynchos,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI 1,ANTI-0036,Forest,2018,22-05-2018,06:19:00,06:29:00,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,unknown,Eastern Tufted Titmouse,Baeolophus bicolor,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
